Participant,Trial,code_file,Programming_Language,Expertise,Complexity,Stage,Vertical_Next_Text,Vertical_Later_Text,Horizontal_Later_Text,Regression_Rate,Line_Regression_Rate,Saccade_Length,Element_Coverage,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
99,5,vehicle_java2.jpg,Java,high,B,stage1,0.8445945945945946,0.8918918918918919,0.6013513513513513,0.2027027027027027,0.1013513513513513,50.22663003502228,0.2321428571428571,-21,-21,1,-40,-40,1
99,5,vehicle_java2.jpg,Java,high,B,stage2,0.8243243243243243,0.8851351351351351,0.5878378378378378,0.2364864864864864,0.1283783783783783,62.50001864808333,0.1875,-51,-48,2,-64,-55,2
186,2,rectangle_java2.jpg,Java,medium,A,stage2,0.7652173913043478,0.8521739130434782,0.5565217391304348,0.2521739130434782,0.1130434782608695,77.35580877255683,0.1875,-46,-45,2,-61,-61,1
186,2,rectangle_java2.jpg,Java,medium,A,stage1,0.8859649122807017,0.9035087719298246,0.6578947368421053,0.1929824561403508,0.1052631578947368,44.896019778968245,0.1875,-26,-26,1,-31,-31,1
172,2,vehicle_java2.jpg,Java,low,B,stage2,0.7816091954022989,0.8620689655172413,0.5287356321839081,0.2758620689655172,0.1494252873563218,67.3383185756787,0.2232142857142857,-12,-12,1,-22,-22,1
172,2,vehicle_java2.jpg,Java,low,B,stage1,0.9310344827586208,0.9655172413793104,0.7011494252873564,0.1149425287356321,0.0919540229885057,64.75171186672465,0.2410714285714285,32,32,1,15,15,1
64,5,rectangle_java2.jpg,Java,medium,A,stage1,0.7010869565217391,0.7771739130434783,0.4673913043478261,0.3260869565217391,0.108695652173913,76.15993555627487,0.2569444444444444,-96,-60,2,-85,-78,2
64,5,rectangle_java2.jpg,Java,medium,A,stage2,0.8108108108108109,0.8540540540540541,0.5243243243243243,0.254054054054054,0.1135135135135135,76.64006642835682,0.25,-68,-30,3,-61,-49,2
64,2,vehicle_java2.jpg,Java,medium,B,stage2,0.7567567567567568,0.8412162162162162,0.5337837837837838,0.2331081081081081,0.0777027027027027,85.13339686465761,0.3571428571428571,-158,-84,4,-167,-124,3
64,2,vehicle_java2.jpg,Java,medium,B,stage1,0.75,0.8445945945945946,0.597972972972973,0.2297297297297297,0.0777027027027027,84.98082021405583,0.2857142857142857,-118,-101,3,-135,-108,2
175,2,rectangle_python.jpg,Python,medium,A,stage2,0.6666666666666666,0.7592592592592593,0.5,0.2407407407407407,0.0185185185185185,79.16396011222358,0.1382978723404255,-39,-39,1,-45,-45,1
175,2,rectangle_python.jpg,Python,medium,A,stage1,0.7222222222222222,0.7962962962962963,0.5,0.2962962962962963,0.1111111111111111,66.11828897054173,0.1808510638297872,-13,-13,1,-14,-14,1
63,5,rectangle_java.jpg,Java,medium,A,stage1,0.7714285714285715,0.8285714285714286,0.5142857142857142,0.2571428571428571,0.0928571428571428,80.25379294030814,0.2291666666666666,-56,-54,2,-67,-66,2
63,5,rectangle_java.jpg,Java,medium,A,stage2,0.8085106382978723,0.851063829787234,0.574468085106383,0.2624113475177305,0.1205673758865248,93.82462993540732,0.2083333333333333,-40,-40,1,-51,-51,1
63,2,vehicle_java.jpg,Java,medium,B,stage2,0.7846153846153846,0.8538461538461538,0.5692307692307692,0.2615384615384615,0.123076923076923,108.95459853635444,0.2232142857142857,-60,-56,2,-65,-65,1
63,2,vehicle_java.jpg,Java,medium,B,stage1,0.8307692307692308,0.8615384615384616,0.5923076923076923,0.2307692307692307,0.1,72.15687992585552,0.1875,-46,-46,1,-47,-47,1
181,5,vehicle_java2.jpg,Java,none,B,stage1,0.8450704225352113,0.8732394366197183,0.5774647887323944,0.1830985915492957,0.0704225352112676,49.48115306826972,0.1428571428571428,-14,-14,1,-10,-10,1
181,5,vehicle_java2.jpg,Java,none,B,stage2,0.9014084507042254,0.943661971830986,0.7183098591549296,0.1690140845070422,0.1267605633802817,48.443533594877465,0.1428571428571428,-26,-26,1,-29,-29,1
181,2,rectangle_java2.jpg,Java,none,A,stage2,0.9148936170212766,0.9148936170212766,0.7872340425531915,0.0851063829787234,0.0212765957446808,77.43254343154274,0.1180555555555555,-15,-15,1,-43,-43,1
181,2,rectangle_java2.jpg,Java,none,A,stage1,0.8936170212765957,0.9148936170212766,0.6382978723404256,0.1489361702127659,0.0851063829787234,52.75755898974721,0.1388888888888889,3,3,1,-13,-13,1
97,2,vehicle_java2.jpg,Java,medium,B,stage2,0.8642857142857143,0.9214285714285714,0.65,0.2,0.1285714285714285,74.63724851952423,0.2410714285714285,-39,-29,2,-34,-34,1
97,2,vehicle_java2.jpg,Java,medium,B,stage1,0.8928571428571429,0.9142857142857144,0.7,0.15,0.0714285714285714,52.63365690346481,0.2142857142857142,-22,-22,1,-25,-25,1
97,5,rectangle_java2.jpg,Java,medium,A,stage1,0.8434782608695652,0.8608695652173913,0.5565217391304348,0.2434782608695652,0.1130434782608695,72.94522104601091,0.1666666666666666,-36,-36,1,-35,-35,1
97,5,rectangle_java2.jpg,Java,medium,A,stage2,0.808695652173913,0.8434782608695652,0.5391304347826087,0.2347826086956521,0.0869565217391304,93.657693963004,0.2083333333333333,-58,-57,2,-59,-59,1
116,2,vehicle_java2.jpg,Java,low,B,stage2,0.9351851851851852,0.9629629629629628,0.7685185185185185,0.1296296296296296,0.1018518518518518,75.03856440411163,0.1964285714285714,-10,-10,1,-33,-33,1
116,2,vehicle_java2.jpg,Java,low,B,stage1,0.9166666666666666,0.9351851851851852,0.6944444444444444,0.1759259259259259,0.1203703703703703,49.372478597098365,0.2053571428571428,-13,-13,1,-9,-9,1
38,2,rectangle_java2.jpg,Java,none,A,stage2,0.7889908256880734,0.8532110091743119,0.5963302752293578,0.2018348623853211,0.0642201834862385,63.0903674610645,0.1944444444444444,-21,-17,2,-29,-29,1
38,2,rectangle_java2.jpg,Java,none,A,stage1,0.7685185185185185,0.8148148148148148,0.5092592592592593,0.287037037037037,0.1111111111111111,66.50362106361443,0.1597222222222222,-58,-51,2,-40,-40,1
118,5,vehicle_java.jpg,Java,high,B,stage1,0.8771929824561403,0.912280701754386,0.543859649122807,0.2807017543859649,0.2105263157894736,83.31870450947932,0.1517857142857142,-8,-8,1,-4,-4,1
118,5,vehicle_java.jpg,Java,high,B,stage2,0.6666666666666666,0.8070175438596491,0.4561403508771929,0.2807017543859649,0.1052631578947368,150.78516075302338,0.1607142857142857,-39,-39,1,-46,-46,1
31,2,rectangle_java2.jpg,Java,medium,A,stage1,0.8776978417266187,0.9064748201438848,0.6330935251798561,0.2014388489208633,0.1151079136690647,47.49163858457097,0.2083333333333333,-26,-26,1,-42,-42,1
31,2,rectangle_java2.jpg,Java,medium,A,stage2,0.75,0.8357142857142857,0.5571428571428572,0.2928571428571428,0.1357142857142857,87.03256872848668,0.1944444444444444,-52,-52,1,-68,-68,1
31,5,vehicle_java2.jpg,Java,medium,B,stage1,0.8409090909090909,0.8863636363636364,0.6439393939393939,0.1818181818181818,0.0757575757575757,43.34266347484852,0.1875,-45,-45,1,-40,-40,1
31,5,vehicle_java2.jpg,Java,medium,B,stage2,0.8409090909090909,0.8939393939393939,0.6742424242424242,0.1893939393939394,0.0909090909090909,69.36437059918109,0.1875,-41,-41,1,-60,-60,1
120,2,rectangle_java.jpg,Java,medium,A,stage1,0.8596491228070176,0.8947368421052632,0.5964912280701754,0.2368421052631578,0.1403508771929824,71.79958791850012,0.1736111111111111,-24,-24,1,-32,-32,1
120,2,rectangle_java.jpg,Java,medium,A,stage2,0.808695652173913,0.8521739130434782,0.6173913043478261,0.2347826086956521,0.0956521739130434,95.15466666234694,0.1944444444444444,-42,-42,1,-32,-32,1
36,2,rectangle_java.jpg,Java,none,A,stage1,0.8260869565217391,0.8695652173913043,0.5869565217391305,0.2826086956521739,0.1739130434782608,65.4731815599243,0.0763888888888889,-20,-20,1,-33,-33,1
36,2,rectangle_java.jpg,Java,none,A,stage2,0.8478260869565217,0.8913043478260869,0.5434782608695652,0.2608695652173913,0.1739130434782608,97.53729443711195,0.1458333333333333,-12,-12,1,-43,-43,1
36,5,vehicle_java.jpg,Java,none,B,stage1,0.8333333333333334,0.85,0.5666666666666667,0.1833333333333333,0.05,51.80951878539332,0.1160714285714285,-34,-34,1,-30,-30,1
36,5,vehicle_java.jpg,Java,none,B,stage2,0.7540983606557377,0.8688524590163934,0.5081967213114754,0.2622950819672131,0.1475409836065573,107.25129637311515,0.1875,-19,-19,1,-38,-38,1
96,5,rectangle_java2.jpg,Java,low,A,stage2,0.7142857142857143,0.7946428571428571,0.5446428571428571,0.2857142857142857,0.0892857142857142,98.78248978370578,0.2152777777777778,-61,-58,2,-60,-60,1
96,5,rectangle_java2.jpg,Java,low,A,stage1,0.7657657657657657,0.8648648648648649,0.5405405405405406,0.2522522522522522,0.1261261261261261,73.27794863796281,0.1388888888888889,-37,-35,2,-12,-12,1
96,2,vehicle_java2.jpg,Java,low,B,stage1,0.902439024390244,0.926829268292683,0.6829268292682927,0.1707317073170731,0.1056910569105691,47.26670367269916,0.1607142857142857,-34,-34,1,-31,-31,1
96,2,vehicle_java2.jpg,Java,low,B,stage2,0.8211382113821138,0.8943089430894309,0.6585365853658537,0.1869918699186991,0.089430894308943,78.85957526643168,0.2321428571428571,-25,-25,1,-51,-49,2
180,2,vehicle_java2.jpg,Java,low,B,stage1,0.8354430379746836,0.8734177215189873,0.5063291139240507,0.240506329113924,0.1265822784810126,63.18382354847223,0.1964285714285714,-14,-14,1,-10,-10,1
180,2,vehicle_java2.jpg,Java,low,B,stage2,0.6708860759493671,0.7974683544303798,0.5189873417721519,0.2658227848101265,0.0759493670886076,102.06447168731364,0.2053571428571428,-43,-43,1,-40,-40,1
180,5,rectangle_java2.jpg,Java,low,A,stage2,0.717948717948718,0.8205128205128205,0.5128205128205128,0.2692307692307692,0.1025641025641025,94.4065061837553,0.1875,-28,-28,1,-30,-30,1
180,5,rectangle_java2.jpg,Java,low,A,stage1,0.9102564102564102,0.935897435897436,0.6282051282051282,0.1923076923076923,0.141025641025641,49.85220534899352,0.125,3,3,1,-4,-4,1
62,2,rectangle_java.jpg,Java,medium,A,stage1,0.8970588235294118,0.9264705882352942,0.6617647058823529,0.1470588235294117,0.088235294117647,59.89041999070166,0.1527777777777778,1,1,1,-11,-11,1
62,2,rectangle_java.jpg,Java,medium,A,stage2,0.855072463768116,0.8985507246376812,0.6376811594202898,0.1739130434782608,0.0869565217391304,95.5493190557307,0.1388888888888889,-31,-31,1,-37,-37,1
62,5,vehicle_java.jpg,Java,medium,B,stage2,0.76,0.9,0.64,0.12,0.04,81.89460308603603,0.0982142857142857,-29,-29,1,-31,-31,1
62,5,vehicle_java.jpg,Java,medium,B,stage1,0.84,0.9,0.58,0.1,0.02,63.41498218302458,0.125,-5,-5,1,-9,-9,1
65,5,vehicle_java.jpg,Java,low,B,stage2,0.72,0.88,0.56,0.16,0.06,121.30521832355564,0.1785714285714285,-23,-23,1,-34,-34,1
65,2,rectangle_java.jpg,Java,low,A,stage1,0.6,0.68,0.28,0.4,0.12,118.3991030860501,0.0625,-23,-23,1,-32,-32,1
65,5,vehicle_java.jpg,Java,low,B,stage1,0.673469387755102,0.7346938775510204,0.3061224489795918,0.3469387755102041,0.1020408163265306,73.9762217621586,0.1339285714285714,-40,-40,1,-36,-36,1
65,2,rectangle_java.jpg,Java,low,A,stage2,0.68,0.88,0.4,0.16,0.08,174.66716312466156,0.0833333333333333,9,9,1,-19,-19,1
91,5,rectangle_java2.jpg,Java,medium,A,stage2,0.8873239436619719,0.9154929577464788,0.5492957746478874,0.2957746478873239,0.2253521126760563,65.11644878996019,0.1111111111111111,-22,-22,1,-45,-45,1
91,5,rectangle_java2.jpg,Java,medium,A,stage1,0.9295774647887324,0.943661971830986,0.6338028169014085,0.2253521126760563,0.1830985915492957,54.185278887712975,0.1527777777777778,3,3,1,-7,-7,1
91,2,vehicle_java2.jpg,Java,medium,B,stage1,0.8214285714285714,0.8839285714285714,0.6071428571428571,0.2142857142857142,0.1071428571428571,74.84280568630184,0.1964285714285714,-26,-26,1,-25,-25,1
91,2,vehicle_java2.jpg,Java,medium,B,stage2,0.7946428571428571,0.8571428571428571,0.5625,0.2857142857142857,0.1517857142857142,100.17088562068274,0.2410714285714285,-47,-47,1,-52,-52,1
53,5,vehicle_java.jpg,Java,medium,B,stage2,0.6865671641791045,0.7910447761194029,0.4925373134328358,0.2686567164179104,0.0746268656716417,105.93905522233186,0.1428571428571428,-30,-30,1,-48,-48,1
53,5,vehicle_java.jpg,Java,medium,B,stage1,0.7575757575757576,0.803030303030303,0.5454545454545454,0.2878787878787879,0.106060606060606,76.9149634701732,0.1339285714285714,-44,-44,1,-40,-40,1
53,2,rectangle_java.jpg,Java,medium,A,stage2,0.735632183908046,0.8390804597701149,0.5172413793103449,0.2528735632183908,0.1034482758620689,114.2391808664738,0.1944444444444444,-34,-22,2,-25,-25,1
53,2,rectangle_java.jpg,Java,medium,A,stage1,0.6395348837209303,0.7441860465116279,0.3953488372093023,0.3372093023255814,0.0930232558139534,87.11986464026799,0.1736111111111111,-56,-56,1,-56,-56,1
145,2,rectangle_java2.jpg,Java,medium,A,stage2,0.7032967032967034,0.7802197802197802,0.4615384615384615,0.2637362637362637,0.0549450549450549,80.4769454839589,0.2152777777777778,-41,-41,1,-73,-73,1
145,2,rectangle_java2.jpg,Java,medium,A,stage1,0.8021978021978022,0.8351648351648352,0.5934065934065934,0.2527472527472527,0.0989010989010989,39.62017909612089,0.0972222222222222,-55,-55,1,-58,-58,1
145,5,vehicle_java2.jpg,Java,medium,B,stage2,0.8661417322834646,0.905511811023622,0.6614173228346457,0.1732283464566929,0.0866141732283464,51.81472112039021,0.2053571428571428,-28,-28,1,-51,-51,1
145,5,vehicle_java2.jpg,Java,medium,B,stage1,0.7777777777777778,0.8253968253968254,0.5,0.2698412698412698,0.1031746031746031,56.183444968638334,0.1696428571428571,-69,-55,2,-73,-57,2
5,5,vehicle_java2.jpg,Java,low,B,stage1,0.8536585365853658,0.8780487804878049,0.6097560975609756,0.1829268292682926,0.073170731707317,50.596105784306594,0.1964285714285714,-33,-33,1,-29,-29,1
