Participant,Trial,code_file,Programming_Language,Expertise,Comprehension_Result,Complexity,Vertical_Next_Text,Vertical_Later_Text,Horizontal_Later_Text,Regression_Rate,Line_Regression_Rate,Saccade_Length,Element_Coverage,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
18,2,vehicle_java.jpg,Java,medium,0,B,0.7483443708609272,0.8211920529801324,0.5264900662251656,0.2814569536423841,0.1059602649006622,91.0982969932524,0.2946428571428571,-142,-114,2,-162,-128,2
20,5,vehicle_java2.jpg,Java,medium,1,B,0.7983870967741935,0.8669354838709677,0.5604838709677419,0.2540322580645161,0.125,79.77295040089034,0.3303571428571428,-82,-82,1,-105,-88,2
20,2,rectangle_java2.jpg,Java,medium,1,A,0.835820895522388,0.8855721393034826,0.6019900497512438,0.2537313432835821,0.1442786069651741,59.916665608810426,0.25,-36,-35,2,-47,-47,1
109,5,rectangle_python.jpg,Python,medium,0,A,0.8285714285714286,0.8761904761904762,0.5904761904761905,0.2571428571428571,0.1428571428571428,82.73409041993256,0.2659574468085106,-4,3,2,-15,-15,1
109,2,vehicle_python.jpg,Python,medium,0,B,0.711340206185567,0.8350515463917526,0.5360824742268041,0.2164948453608247,0.0618556701030927,108.61442896537989,0.2428571428571428,-20,-7,2,-37,-22,3
16,2,rectangle_java2.jpg,Java,high,1,A,0.7534883720930232,0.8372093023255814,0.4976744186046511,0.3255813953488372,0.1674418604651162,75.41728973341,0.2638888888888889,-84,-63,3,-87,-79,2
16,5,vehicle_java2.jpg,Java,high,1,B,0.8219895287958116,0.8586387434554974,0.6047120418848168,0.2382198952879581,0.0994764397905759,61.26597911522819,0.2857142857142857,-152,-133,3,-169,-156,3
29,2,vehicle_java2.jpg,Java,low,0,B,0.644808743169399,0.7431693989071039,0.4207650273224044,0.3387978142076502,0.087431693989071,82.07162687233826,0.3035714285714285,-129,-97,2,-125,-98,2
29,5,rectangle_java2.jpg,Java,low,0,A,0.7100591715976331,0.7692307692307693,0.3964497041420118,0.3550295857988165,0.1301775147928994,71.6734751254513,0.2569444444444444,-100,-86,2,-93,-75,2
107,2,rectangle_java.jpg,Java,medium,0,A,0.8317307692307693,0.8846153846153846,0.5817307692307693,0.2211538461538461,0.110576923076923,85.14442035639318,0.25,-62,-9,2,-49,-49,1
138,2,rectangle_java2.jpg,Java,medium,1,A,0.8571428571428571,0.9006211180124224,0.6583850931677019,0.1925465838509316,0.0993788819875776,71.82283842522806,0.2361111111111111,-7,-6,2,-39,-39,1
89,5,rectangle_java2.jpg,Java,medium,0,A,0.8705357142857143,0.8928571428571429,0.6160714285714286,0.2410714285714285,0.1383928571428571,68.0485159366805,0.2708333333333333,-44,-32,2,-61,-61,1
89,2,vehicle_java2.jpg,Java,medium,0,B,0.868421052631579,0.916267942583732,0.7033492822966507,0.1818181818181818,0.1004784688995215,71.19610581151389,0.3571428571428571,-93,-35,3,-103,-59,4
154,5,rectangle_java2.jpg,Java,low,1,A,0.8323863636363636,0.8664772727272727,0.6335227272727273,0.2414772727272727,0.1107954545454545,57.869790688573936,0.2638888888888889,-126,-95,3,-128,-117,2
